"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","pid","Impulsivity[Imp1]","Impulsivity[Imp2]","Impulsivity[Imp3]","Impulsivity[Imp4]","Impulsivity[Imp5]","Impulsivity[Imp6]","Impulsivity[Imp7]","Impulsivity[Imp8]","Impulsivity[Imp9]","Impulsivity[Imp10]","Impulsivity[Imp11]","Impulsivity[Imp12]","Impulsivity[Imp13]","Impulsivity[Imp14]","Impulsivity[Imp15]","Anxiety[Anx1]","Anxiety[Anx2]","Anxiety[Anx3]","Anxiety[Anx4]","Anxiety[Anx5]","SelfControl[SC1]","SelfControl[SC2]","SelfControl[SC3]","SelfControl[SC4]","SelfControl[SC5]","SelfControl[SC6]","SelfControl[SCATC]","SelfControl[SC7]","SelfControl[SC8]","SelfControl[SC9]","SelfControl[SC10]","SelfControl[SC11]","SelfControl[SC12]","SelfControl[SC13]","FOMO[Fomo1]","FOMO[Fomo2]","FOMO[Fomo3]","FOMO[Fomo4]","FOMO[Fomo5]","thx","ifyes","OtherIntervention","anleitungandroid","whyNotIntereseted","whyNotInstalled","ifno"
"483","2025-03-12 23:59:01","3","en","1389286141","2025-03-12 23:51:10","2025-03-12 23:59:01","59e996863e4b5a00016aa699","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","2 (often)","1 (sometimes)","1 (sometimes)","2 (often)","1 (not at all)","2","2","1 (not at all)","2","4","5 (very much)","5 (very much)","4","4","2","3","2","2","4","4","5 (totally agree)","3","4","Yes","Yes","No","Yes",,,""
"484","2025-03-13 00:02:56","3","en","1793389825","2025-03-12 23:51:24","2025-03-13 00:02:56","671271eb939122be7406974e","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","1 (sometimes)","2 (often)","2 (often)","1 (sometimes)","2 (often)","3","4","3","3","3","2","5 (very much)","5 (very much)","4","5 (very much)","3","3","4","3","4","4","2","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"487","2025-03-13 00:06:12","3","en","1347362092","2025-03-12 23:51:37","2025-03-13 00:06:12","6548f960db60a00d76e92695","4 (almost always)","4 (almost always)","3 (often)","3 (often)","4 (almost always)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","4 (almost always)","4 (almost always)","3 (often)","2 (occasionally)","4 (almost always)","1 (sometimes)","2 (often)","3 (almost always)","3 (almost always)","3 (almost always)","1 (not at all)","5 (very much)","1 (not at all)","4","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","3","5 (very much)","5 (very much)","5 (totally agree)","5 (totally agree)","4","4","5 (totally agree)","Yes","Yes","No","Yes",,,""
"490","2025-03-13 00:18:35","3","en","1612307058","2025-03-12 23:53:44","2025-03-13 00:18:35","6761944486ce83768479f637","3 (often)","3 (often)","3 (often)","2 (occasionally)","3 (often)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","3 (often)","3 (often)","3 (almost always)","2 (often)","3 (almost always)","1 (sometimes)","3 (almost always)","1 (not at all)","5 (very much)","4","2","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","4","2","4","1 (not at all)","4","4","2","1 (totally disagree)","3","Yes","Yes","No","Yes",,,""
"491","2025-03-13 00:07:16","3","en","2118392736","2025-03-12 23:54:20","2025-03-13 00:07:16","67b01f249acb8dfd481591e2","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","4 (almost always)","4 (almost always)","3 (often)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","1 (sometimes)","0 (almost never)","0 (almost never)","3","2","1 (not at all)","2","1 (not at all)","5 (very much)","5 (very much)","3","4","2","1 (not at all)","5 (very much)","1 (not at all)","1 (not at all)","3","2","2","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"492","2025-03-13 00:10:49","3","en","1566440149","2025-03-12 23:54:24","2025-03-13 00:10:49","661f7e6d188e3d7530659024","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","2 (often)","3 (almost always)","3 (almost always)","3 (almost always)","3","4","2","4","1 (not at all)","4","5 (very much)","3","3","1 (not at all)","3","5 (very much)","1 (not at all)","1 (not at all)","5 (totally agree)","5 (totally agree)","3","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"494","2025-03-13 00:01:43","3","en","1188227453","2025-03-12 23:55:27","2025-03-13 00:01:43","55cff4a834e9060012e57407","3 (often)","3 (often)","4 (almost always)","4 (almost always)","4 (almost always)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","4 (almost always)","2 (occasionally)","1 (rarely/never)","3 (often)","2 (occasionally)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","1 (not at all)","5 (very much)","5 (very much)","4","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","3","5 (very much)","5 (very much)","4","5 (totally agree)","5 (totally agree)","5 (totally agree)","5 (totally agree)","Yes","Yes","No","Yes",,,""
"496","2025-03-13 00:07:16","3","en","1123685367","2025-03-12 23:56:13","2025-03-13 00:07:16","5e27fa29d91131a0838c9571","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","3","4","2","3","4","2","5 (very much)","4","2","3","3","3","4","3","2","2","3","2","2","Yes","Yes","No","Yes",,,""
"497","2025-03-13 00:06:05","3","en","520240981","2025-03-12 23:56:51","2025-03-13 00:06:05","5d76ac914c93440001c03fd7","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","2 (occasionally)","1 (rarely/never)","0 (almost never)","1 (sometimes)","1 (sometimes)","0 (almost never)","0 (almost never)","4","1 (not at all)","2","2","2","5 (very much)","5 (very much)","3","4","3","3","4","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","3","Yes","Yes","No","No",,"No luck granting permissions.",""
"498","2025-03-13 00:07:01","3","en","747326679","2025-03-12 23:57:05","2025-03-13 00:07:01","614af89a94339a92bf646754","3 (often)","3 (often)","2 (occasionally)","4 (almost always)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","4 (almost always)","2 (often)","1 (sometimes)","0 (almost never)","2 (often)","1 (sometimes)","2","5 (very much)","3","4","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","4","1 (not at all)","3","4","4","3","3","1 (totally disagree)","1 (totally disagree)","3","Yes","Yes","No","Yes",,,""
"500","2025-03-13 00:03:54","3","en","1259264964","2025-03-12 23:57:26","2025-03-13 00:03:54","5c4af67cdccaa800016b3192","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (sometimes)","1 (sometimes)","2 (often)","1 (sometimes)","1 (sometimes)","3","4","3","1 (not at all)","3","3","5 (very much)","4","2","3","3","3","4","3","4","4","3","3","3","Yes","Yes","No","Yes",,,""
"501","2025-03-13 00:09:46","3","en","1753309718","2025-03-12 23:58:23","2025-03-13 00:09:46","671dda0e45e76f3 5ce05de62","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","2 (occasionally)","4 (almost always)","4 (almost always)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","3 (almost always)","3 (almost always)","2 (often)","3 (almost always)","3 (almost always)","3","4","2","2","3","4","5 (very much)","3","3","4","4","4","3","4","5 (totally agree)","5 (totally agree)","4","4","4","No","N/A","N/A","N/A","I don't think my Android smart phone is not  fast enough , I wished it was fast enough,  so sorry.",,""
"502","2025-03-13 00:09:31","3","en","2110409222","2025-03-12 23:59:23","2025-03-13 00:09:31","66ce36b5ec965c47b1884230","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","4 (almost always)","2 (occasionally)","1 (rarely/never)","3 (often)","4 (almost always)","2 (often)","3 (almost always)","3 (almost always)","0 (almost never)","3 (almost always)","3","5 (very much)","4","2","3","4","5 (very much)","4","3","4","4","3","4","4","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"504","2025-03-13 00:13:08","3","en","1571933912","2025-03-13 00:00:40","2025-03-13 00:13:08","6229f1c215b1b83f71da3b71","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","4 (almost always)","2 (occasionally)","2 (occasionally)","4 (almost always)","2 (occasionally)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","3","3","2","2","2","3","5 (very much)","2","3","3","2","5 (very much)","2","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"505","2025-03-13 00:04:05","3","en","95821204","2025-03-13 00:01:04","2025-03-13 00:04:05","638a3fd5992f01b81d0e1e93","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","2 (often)","1 (sometimes)","1 (sometimes)","1 (sometimes)","4","2","1 (not at all)","2","2","3","5 (very much)","3","3","3","2","4","4","1 (not at all)","4","5 (totally agree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"506","2025-03-13 00:14:59","3","en","508652583","2025-03-13 00:01:06","2025-03-13 00:14:59","5a6d5ae19d65ec00017e9bae","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","2 (occasionally)","2 (often)","1 (sometimes)","2 (often)","1 (sometimes)","1 (sometimes)","4","3","3","2","2","4","5 (very much)","3","4","4","2","4","4","2","3","3","4","2","3","Yes","Yes","No","Yes",,,""
"508","2025-03-13 00:28:16","3","en","1331676963","2025-03-13 00:17:06","2025-03-13 00:28:16","664521e03117b782ed4fff45","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","2 (occasionally)","3 (often)","4 (almost always)","2 (occasionally)","4 (almost always)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","5 (very much)","3","1 (not at all)","3","1 (not at all)","4","5 (very much)","5 (very much)","3","4","1 (not at all)","5 (very much)","2","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"509","2025-03-13 00:45:02","3","en","313807421","2025-03-13 00:32:07","2025-03-13 00:45:02","674e8d89cc78a200ccd9a84b","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","0 (almost never)","1 (sometimes)","1 (sometimes)","0 (almost never)","4","2","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","2","4","1 (not at all)","1 (not at all)","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","5 (totally agree)","Yes","Yes","No","Yes",,,""
"510","2025-03-13 01:16:00","3","en","1077579160","2025-03-13 00:47:23","2025-03-13 01:16:00","669284eabea5b8c9655927da","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","4 (almost always)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","1 (rarely/never)","2 (occasionally)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","3","3","3","3","3","3","3","3","3","3","1 (not at all)","3","1 (not at all)","1 (not at all)","3","3","3","3","3","Yes","Yes","Yes","Yes",,,""
"511","2025-03-14 00:00:07","3","en","1306253404","2025-03-13 23:53:34","2025-03-14 00:00:07","67ad1192dbe02c515e5a38ae","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","4 (almost always)","3 (often)","3 (often)","4 (almost always)","2 (occasionally)","4 (almost always)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (sometimes)","0 (almost never)","1 (sometimes)","1 (sometimes)","2 (often)","2","1 (not at all)","1 (not at all)","2","1 (not at all)","2","2","3","4","4","1 (not at all)","5 (very much)","2","2","2","1 (totally disagree)","1 (totally disagree)","2","2","Yes","Yes","Yes","Yes",,,""
"513","2025-03-14 00:01:01","3","en","1647558406","2025-03-13 23:54:05","2025-03-14 00:01:01","67aa9a444dc88e4137cd0a45","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","4","1 (not at all)","1 (not at all)","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","2","5 (very much)","1 (not at all)","2","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"514","2025-03-14 00:02:49","3","en","1868308054","2025-03-13 23:54:29","2025-03-14 00:02:49","668564a45368836193b94269","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","4 (almost always)","3 (often)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","4","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","4","5 (very much)","3","5 (very much)","1 (not at all)","1 (not at all)","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","Yes","Yes",,,""
"517","2025-03-14 00:01:27","3","en","1166696377","2025-03-13 23:54:43","2025-03-14 00:01:27","67ac029df767109fdc4d1983","3 (often)","4 (almost always)","2 (occasionally)","1 (rarely/never)","3 (often)","4 (almost always)","2 (occasionally)","1 (rarely/never)","3 (often)","4 (almost always)","2 (occasionally)","4 (almost always)","1 (rarely/never)","3 (often)","2 (occasionally)","1 (sometimes)","2 (often)","3 (almost always)","0 (almost never)","1 (sometimes)","3","2","4","5 (very much)","1 (not at all)","2","4","1 (not at all)","3","2","1 (not at all)","3","5 (very much)","4","1 (totally disagree)","3","5 (totally agree)","4","1 (totally disagree)","Yes","Yes","Yes","Yes",,,""
"518","2025-03-14 00:11:24","3","en","1363203217","2025-03-13 23:54:51","2025-03-14 00:11:24","672148f928fcaa56a3b26dac","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","4 (almost always)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","0 (almost never)","0 (almost never)","0 (almost never)","4","2","1 (not at all)","1 (not at all)","1 (not at all)","2","5 (very much)","4","3","2","3","4","4","2","3","2","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"519","2025-03-14 00:08:35","3","en","190390299","2025-03-13 23:55:32","2025-03-14 00:08:35","671164bf955000afe7f1b681","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","0 (almost never)","0 (almost never)","3","3","2","2","2","4","5 (very much)","4","2","4","3","4","2","2","3","3","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"520","2025-03-14 00:11:09","3","en","423754963","2025-03-13 23:55:41","2025-03-14 00:11:09","67929fedf3f6f88cbbb925ab","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","4 (almost always)","4 (almost always)","3 (often)","3 (often)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","0 (almost never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2","3","1 (not at all)","1 (not at all)","1 (not at all)","2","5 (very much)","3","1 (not at all)","2","2","5 (very much)","2","2","2","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"524","2025-03-14 00:05:30","3","en","1553365939","2025-03-13 23:58:21","2025-03-14 00:05:30","671bdd06525adeea062a1d73","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","1 (rarely/never)","3 (often)","3 (often)","3 (often)","2 (occasionally)","4 (almost always)","4 (almost always)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (often)","2 (often)","1 (sometimes)","2 (often)","3 (almost always)","3","4","3","4","4","3","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","3","1 (not at all)","3","2","3","3","3","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"526","2025-03-14 00:23:43","3","en","1063571689","2025-03-14 00:01:32","2025-03-14 00:23:43","66e0878b8a2624c7a7339c19","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","4","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","3","4","4","1 (not at all)","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","4","Yes","Yes","No","Yes",,,""
"527","2025-03-14 00:08:08","3","en","1812411624","2025-03-14 00:01:35","2025-03-14 00:08:08","63d1957ba19644f6c749c001","3 (often)","4 (almost always)","2 (occasionally)","3 (often)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","2 (occasionally)","1 (rarely/never)","1 (sometimes)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","3","5 (very much)","5 (very much)","4","5 (very much)","2","5 (very much)","3","2","5 (very much)","2","3","4","4","5 (totally agree)","5 (totally agree)","3","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"528","2025-03-14 00:16:17","3","en","1902473069","2025-03-14 00:02:45","2025-03-14 00:16:17","6723bebed3cb23087bebc5bd","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","3 (often)","3 (often)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","3 (almost always)","1 (not at all)","5 (very much)","1 (not at all)","5 (very much)","5 (very much)","1 (not at all)","5 (very much)","1 (not at all)","2","3","1 (not at all)","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","No",,"I have Android 14, and Google blocked it, saying that the permissions are for an older version of Android. I went into settings to bypass it by clicking yes per the video, but Google still won't let me download it. It's a bummer since this looked like a fun study. Good Luck to you!",""
"529","2025-03-14 00:09:46","3","en","843922974","2025-03-14 00:03:24","2025-03-14 00:09:46","66bd25fdae3afa8b2a215da6","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","0 (almost never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","0 (almost never)","5 (very much)","3","4","2","2","3","5 (very much)","4","1 (not at all)","2","2","5 (very much)","2","1 (not at all)","2","2","2","2","2","Yes","No","N/A","N/A","no android",,""
"530","2025-03-14 00:18:13","3","en","795917329","2025-03-14 00:03:55","2025-03-14 00:18:13","674fd5c48fbde512501db186","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","3 (often)","1 (rarely/never)","3 (often)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2","3","2","4","3","1 (not at all)","5 (very much)","3","2","2","3","3","2","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"535","2025-03-14 00:22:38","3","en","1267776507","2025-03-14 00:07:40","2025-03-14 00:22:38","5ae64fb8c3c3ab00018f7e89","2 (occasionally)","2 (occasionally)","3 (often)","4 (almost always)","3 (often)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","4 (almost always)","4 (almost always)","1 (rarely/never)","2 (occasionally)","3 (often)","2 (often)","3 (almost always)","2 (often)","3 (almost always)","2 (often)","4","4","2","5 (very much)","5 (very much)","2","5 (very much)","4","1 (not at all)","3","4","3","4","4","5 (totally agree)","4","1 (totally disagree)","1 (totally disagree)","2","Yes","Yes","No","Yes",,,""
"536","2025-03-14 00:22:48","3","en","468423580","2025-03-14 00:09:05","2025-03-14 00:22:48","5e6b11a7704ee10c3d5e203a","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","5 (very much)","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","5 (very much)","5 (very much)","1 (not at all)","1 (not at all)","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"537","2025-03-14 00:33:13","3","en","2056049267","2025-03-14 00:09:27","2025-03-14 00:33:13","675c96124915bd60cd4720e3","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","1 (sometimes)","2 (often)","2 (often)","2 (often)","2 (often)","2","3","1 (not at all)","3","2","5 (very much)","5 (very much)","3","2","4","3","3","2","3","4","3","4","3","3","Yes","Yes","No","Yes",,,""
"539","2025-03-14 00:16:52","3","en","253103029","2025-03-14 00:10:21","2025-03-14 00:16:52","63b75b75d69b669e44d7f318","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","4 (almost always)","3 (often)","4 (almost always)","4 (almost always)","3 (often)","1 (rarely/never)","3 (often)","4 (almost always)","1 (rarely/never)","1 (rarely/never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","5 (very much)","1 (not at all)","1 (not at all)","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","2","4","2","2","4","1 (not at all)","2","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"540","2025-03-14 00:18:56","3","en","1638353260","2025-03-14 00:12:02","2025-03-14 00:18:56","6633fa4ebe0a692fc1a5f422","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","4 (almost always)","4 (almost always)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","4 (almost always)","4 (almost always)","2 (occasionally)","2 (occasionally)","4 (almost always)","0 (almost never)","1 (sometimes)","0 (almost never)","1 (sometimes)","1 (sometimes)","3","5 (very much)","3","1 (not at all)","1 (not at all)","5 (very much)","5 (very much)","2","1 (not at all)","5 (very much)","3","5 (very much)","1 (not at all)","1 (not at all)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","1 (totally disagree)","Yes","Yes","No","Yes",,,""
"541","2025-03-14 00:23:59","3","en","554731044","2025-03-14 00:13:59","2025-03-14 00:23:59","665a081994dc662744486887","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2 (often)","1 (sometimes)","3","4","2","2","4","2","5 (very much)","4","1 (not at all)","4","3","3","3","2","5 (totally agree)","5 (totally agree)","4","4","5 (totally agree)","Yes","Yes","No","Yes",,,""
